INFO 22:30:58: Loading World
INFO 22:30:58: Making Window
INFO 22:30:58: Creating Threads
INFO 22:30:58: Starting Threads
INFO 22:30:58: Making Agents
INFO 22:30:59: Number of weights: 134
INFO 22:31:22: Gen 0 Best: 100.00, Median: 0.00, 75th: 0.00
INFO 22:33:29: Gen 65 Best: 105.00, Median: 60.00, 75th: 60.00
INFO 22:33:31: Gen 66 Best: 100.00, Median: 60.00, 75th: 60.00
INFO 22:33:33: Gen 67 Best: 100.00, Median: 60.00, 75th: 60.00
INFO 22:33:35: Gen 68 Best: 100.00, Median: 80.00, 75th: 60.00
INFO 22:33:36: Gen 69 Best: 105.00, Median: 60.00, 75th: 60.00
INFO 22:33:38: Gen 70 Best: 100.00, Median: 60.00, 75th: 60.00
INFO 22:33:40: Gen 71 Best: 105.00, Median: 60.00, 75th: 60.00
INFO 22:33:42: Gen 72 Best: 105.00, Median: 80.00, 75th: 60.00
INFO 22:33:43: Gen 73 Best: 100.00, Median: 60.00, 75th: 60.00
INFO 22:33:45: Gen 74 Best: 105.00, Median: 60.00, 75th: 60.00
